"tag","tag_time","wav_time","utc_time","duration","label","audit_number","labeler","wav_file","audit_file","time"
"cc23_BAKR",461936,1115.26012499997,2023-01-06 22:15:30,0,"soa","346","EN","cc23_BAKR026.wav","cc23_BAKR_aud_EN_346_finished.txt",1115.26012499997
"cc23_BAKR",462531.98,1711.24012499995,2023-01-06 22:25:26,1.36,"whp foc","346","EN","cc23_BAKR026.wav","cc23_BAKR_aud_EN_346_finished.txt",1711.24012499995
"cc23_BAKR",462535.7,1714.96012499998,2023-01-06 22:25:29,1.36,"whp foc","346","EN","cc23_BAKR026.wav","cc23_BAKR_aud_EN_346_finished.txt",1714.96012499998
"cc23_BAKR",462539.36,1718.62012499996,2023-01-06 22:25:33,1.36,"whp foc","346","EN","cc23_BAKR026.wav","cc23_BAKR_aud_EN_346_finished.txt",1718.62012499996
"cc23_BAKR",462543.06,1722.32012499997,2023-01-06 22:25:37,1.43,"whp foc","346","EN","cc23_BAKR026.wav","cc23_BAKR_aud_EN_346_finished.txt",1722.32012499997
"cc23_BAKR",462546.86,1726.12012499996,2023-01-06 22:25:41,1.72,"whp foc","346","EN","cc23_BAKR026.wav","cc23_BAKR_aud_EN_346_finished.txt",1726.12012499996
"cc23_BAKR",462550.85,1730.11012499995,2023-01-06 22:25:44,1.71,"whp foc","346","EN","cc23_BAKR026.wav","cc23_BAKR_aud_EN_346_finished.txt",1730.11012499995
"cc23_BAKR",462555.01,1734.27012499998,2023-01-06 22:25:49,2.02,"whp foc","346","EN","cc23_BAKR026.wav","cc23_BAKR_aud_EN_346_finished.txt",1734.27012499998
"cc23_BAKR",462559.14,1738.40012499999,2023-01-06 22:25:53,1.9,"whp foc","346","EN","cc23_BAKR026.wav","cc23_BAKR_aud_EN_346_finished.txt",1738.40012499999
"cc23_BAKR",462563.6,1742.86012499995,2023-01-06 22:25:57,1.96,"whp foc","346","EN","cc23_BAKR026.wav","cc23_BAKR_aud_EN_346_finished.txt",1742.86012499995
"cc23_BAKR",462568.04,1747.30012499995,2023-01-06 22:26:02,2.44,"whp foc","346","EN","cc23_BAKR026.wav","cc23_BAKR_aud_EN_346_finished.txt",1747.30012499995
"cc23_BAKR",462571.45,1750.71012499998,2023-01-06 22:26:05,0,"eoa","346","EN","cc23_BAKR026.wav","cc23_BAKR_aud_EN_346_finished.txt",1750.71012499998
"cc23_BAKR",462866,2045.26012499997,2023-01-06 22:31:00,0,"soa","348","EN","cc23_BAKR026.wav","cc23_BAKR_aud_EN_348_finished.txt",2045.26012499997
"cc23_BAKR",463125.24,2304.50012499996,2023-01-06 22:35:19,2.62,"str cub non","348","EN","cc23_BAKR026.wav","cc23_BAKR_aud_EN_348_finished.txt",2304.50012499996
"cc23_BAKR",463325.99,2505.25012499996,2023-01-06 22:38:40,1.13,"grn ? non","348","EN","cc23_BAKR026.wav","cc23_BAKR_aud_EN_348_finished.txt",2505.25012499996
"cc23_BAKR",463466,2645.26012499997,2023-01-06 22:41:00,0,"eoa","348","EN","cc23_BAKR026.wav","cc23_BAKR_aud_EN_348_finished.txt",2645.26012499997
