"tag","tag_time","wav_time","utc_time","duration","label","audit_number","labeler","wav_file","audit_file","time"
"cc23_STAR",644598,10968.64334375,2023-01-09 01:00:00,0,"soa","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",10968.64334375
"cc23_STAR",644610.48,10981.12334375,2023-01-09 01:00:12,3.27,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",10981.12334375
"cc23_STAR",644677.69,11048.33334375,2023-01-09 01:01:20,2.2,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11048.33334375
"cc23_STAR",644682.62,11053.26334375,2023-01-09 01:01:24,1.34,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11053.26334375
"cc23_STAR",644786.26,11156.90334375,2023-01-09 01:03:08,0.97,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11156.90334375
"cc23_STAR",644869.37,11240.01334375,2023-01-09 01:04:31,0.75,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11240.01334375
"cc23_STAR",644887.7,11258.34334375,2023-01-09 01:04:50,0.63,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11258.34334375
"cc23_STAR",644894.09,11264.73334375,2023-01-09 01:04:56,0.51,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11264.73334375
"cc23_STAR",644954.87,11325.51334375,2023-01-09 01:05:57,1.32,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11325.51334375
"cc23_STAR",644959.18,11329.8233437501,2023-01-09 01:06:01,1.41,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11329.8233437501
"cc23_STAR",644964.59,11335.23334375,2023-01-09 01:06:06,1,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11335.23334375
"cc23_STAR",644971.32,11341.96334375,2023-01-09 01:06:13,0.5,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11341.96334375
"cc23_STAR",645339,11709.64334375,2023-01-09 01:12:21,0.95,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11709.64334375
"cc23_STAR",645341.68,11712.3233437501,2023-01-09 01:12:24,1.27,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11712.3233437501
"cc23_STAR",645346.34,11716.98334375,2023-01-09 01:12:28,1.55,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11716.98334375
"cc23_STAR",645351.1,11721.74334375,2023-01-09 01:12:33,1.58,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11721.74334375
"cc23_STAR",645360.51,11731.15334375,2023-01-09 01:12:42,2.01,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11731.15334375
"cc23_STAR",645369.69,11740.33334375,2023-01-09 01:12:52,1.38,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11740.33334375
"cc23_STAR",645532.25,11902.89334375,2023-01-09 01:15:34,1,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11902.89334375
"cc23_STAR",645548.6,11919.24334375,2023-01-09 01:15:50,1.39,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11919.24334375
"cc23_STAR",645554.06,11924.7033437501,2023-01-09 01:15:56,1.52,"grn foc","166","MS","cc23_STAR027.wav","cc23_STAR_aud_MS_166_finished.txt",11924.7033437501
